路口名稱,A2總數,主要肇因
(北區)三民路與崇德路口,36,違反特定標誌(線)禁制
(北區)崇德路與三民路口,12,違反特定標誌(線)禁制
(南屯區)五權西路與環中路口,20,未注意車前狀態
(南屯區)向上路與環中路口,14,未注意車前狀態
(潭子區)中山路與環中路口,13,未保持行車安全距離
(西屯區)安和路與臺灣大道口,15,其他不當駕車行為
(西屯區)文心路與臺灣大道口,30,其他不當駕車行為
(西屯區)東大路與臺灣大道口,12,其他不當駕車行為
(西屯區)臺灣大道與惠中路口,22,變換車道或方向不當
(西屯區)臺灣大道與文心路口,31,其他不當駕車行為
